edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
240,594,11014,116.3715346,39.913177,116.3692305,39.913295,116.37038255,39.913236
241,594,595,116.3715346,39.913177,116.3754967,39.9129968,116.37351565,39.913086899999996
242,595,594,116.3754967,39.9129968,116.3715346,39.913177,116.37351565,39.913086899999996
243,3618,10,116.3765804,39.9056415,116.3766593,39.9058516,116.37661985,39.90574655
244,10,3618,116.3766593,39.9058516,116.3765804,39.9056415,116.37661985,39.90574655
245,25853,25244,116.4344916,39.9228371,116.4344924,39.9227279,116.434492,39.9227825
246,610,29505,116.4440292,39.9119975,116.4439094,39.9120075,116.44396929999999,39.9120025
247,29505,610,116.4439094,39.9120075,116.4440292,39.9119975,116.44396929999999,39.9120025
248,29505,5244,116.4439094,39.9120075,116.4431151,39.9119846,116.44351225,39.91199605
249,5244,29505,116.4431151,39.9119846,116.4439094,39.9120075,116.44351225,39.91199605
250,5244,29133,116.4431151,39.9119846,116.4403407,39.9119829,116.44172789999999,39.91198375
251,29133,5244,116.4403407,39.9119829,116.4431151,39.9119846,116.44172789999999,39.91198375
252,29133,1238,116.4403407,39.9119829,116.4376102,39.9119234,116.43897544999999,39.91195315
253,1238,29133,116.4376102,39.9119234,116.4403407,39.9119829,116.43897544999999,39.91195315
254,1238,612,116.4376102,39.9119234,116.4348077,39.9118761,116.43620895,39.91189975
255,612,1238,116.4348077,39.9118761,116.4376102,39.9119234,116.43620895,39.91189975
256,612,611,116.4348077,39.9118761,116.4305921,39.9118894,116.43269989999999,39.911882750000004
257,611,612,116.4305921,39.9118894,116.4348077,39.9118761,116.43269989999999,39.911882750000004
258,611,653,116.4305921,39.9118894,116.4291556,39.9118787,116.42987385,39.91188405
259,653,611,116.4291556,39.9118787,116.4305921,39.9118894,116.42987385,39.91188405
260,25240,27811,116.444127,39.9214669,116.4440985,39.9205445,116.44411274999999,39.921005699999995
261,27811,1265,116.4440985,39.9205445,116.4440733,39.9190871,116.4440859,39.919815799999995
262,1265,613,116.4440733,39.9190871,116.4440286,39.9163504,116.44405094999999,39.91771875
263,613,610,116.4440286,39.9163504,116.4440292,39.9119975,116.4440289,39.91417395
264,610,29504,116.4440292,39.9119975,116.4440862,39.90841,116.4440577,39.91020375
265,29504,28535,116.4440862,39.90841,116.4440845,39.9073626,116.44408535,39.9078863
266,28535,20548,116.4440845,39.9073626,116.4440883,39.9073161,116.4440864,39.90733935
267,20548,75,116.4440883,39.9073161,116.4441203,39.9071643,116.44410429999999,39.907240200000004
268,25842,1264,116.4348662,39.9163686,116.4378772,39.9163332,116.4363717,39.9163509
269,1264,1263,116.4378772,39.9163332,116.4397462,39.9163443,116.4388117,39.916338749999994
270,1263,29246,116.4397462,39.9163443,116.4404181,39.9163407,116.44008215,39.9163425
271,511,510,116.582138,40.0731091,116.582604,40.0754501,116.582371,40.0742796
272,617,12451,116.3230845,39.8959802,116.3230111,39.8979026,116.3230478,39.8969414
273,12451,12560,116.3230111,39.8979026,116.3229688,39.899132,116.32298995,39.8985173
274,12560,12455,116.3229688,39.899132,116.3229175,39.9013024,116.32294315,39.9002172
275,12455,27204,116.3229175,39.9013024,116.3229014,39.9058958,116.32290945,39.9035991
276,27204,621,116.3229014,39.9058958,116.322901,39.9059991,116.3229012,39.90594745
277,643,60381,116.3057848,39.8839226,116.3062383,39.8841281,116.30601155,39.88402535
278,60381,876,116.3062383,39.8841281,116.3104116,39.8859149,116.30832495,39.8850215
279,876,19799,116.3104116,39.8859149,116.3149075,39.8877865,116.31265955,39.8868507
280,19799,3564,116.3149075,39.8877865,116.3150334,39.887829,116.31497045,39.88780775
281,112,19151,116.4011781,39.9816984,116.4010286,39.9816965,116.40110335,39.98169745
282,19151,6243,116.4010286,39.9816965,116.3903571,39.9813531,116.39569285,39.9815248
283,6243,22095,116.3903571,39.9813531,116.38848,39.9813206,116.38941855,39.98133685
284,22095,109,116.38848,39.9813206,116.3882619,39.9812361,116.38837095,39.98127835
285,602,13590,116.44237,39.9350657,116.4423338,39.9324119,116.4423519,39.9337388
286,13590,602,116.4423338,39.9324119,116.44237,39.9350657,116.4423519,39.9337388
287,3157,12406,116.4408924,39.9615164,116.4426989,39.9631893,116.44179564999999,39.96235285
288,12406,34443,116.4426989,39.9631893,116.4469717,39.9670176,116.4448353,39.96510345
289,34443,24174,116.4469717,39.9670176,116.4470295,39.9670757,116.4470006,39.96704665
290,24174,926,116.4470295,39.9670757,116.4471056,39.9671352,116.44706755,39.967105450000005
291,4762,4810,116.4720014,40.0101361,116.4722051,40.0073859,116.47210325,40.008761
292,4810,4762,116.4722051,40.0073859,116.4720014,40.0101361,116.47210325,40.008761
293,4810,25156,116.4722051,40.0073859,116.4722418,40.0063746,116.47222345,40.00688025
294,25156,4810,116.4722418,40.0063746,116.4722051,40.0073859,116.47222345,40.00688025
295,25156,1436,116.4722418,40.0063746,116.4722796,40.0046901,116.47226069999999,40.005532349999996
296,1436,25156,116.4722796,40.0046901,116.4722418,40.0063746,116.47226069999999,40.005532349999996
297,1436,5494,116.4722796,40.0046901,116.4723238,40.0036207,116.4723017,40.0041554
298,5494,1436,116.4723238,40.0036207,116.4722796,40.0046901,116.4723017,40.0041554
299,21523,21524,116.3115702,39.9746749,116.3117415,39.9746731,116.31165585,39.97467399999999
300,2147,17743,116.3464843,39.9996931,116.3464906,39.9995714,116.34648745,39.999632250000005
301,1189,3108,116.4017327,39.9481136,116.4013536,39.9479951,116.40154315,39.94805435
302,809,28611,116.4121788,39.8996345,116.4122436,39.8994975,116.4122112,39.899566
303,5251,17124,116.3803573,40.0084898,116.3803488,40.0086231,116.38035305,40.00855645
304,17124,61992,116.3803488,40.0086231,116.3745365,40.0142282,116.37744265,40.01142565
305,61992,61987,116.3745365,40.0142282,116.3740739,40.0171703,116.37430520000001,40.01569925
306,61987,5823,116.3740739,40.0171703,116.3793769,40.0196778,116.3767254,40.01842404999999
307,711,710,116.3454137,40.0243775,116.3455845,40.0238671,116.3454991,40.0241223
308,19678,37267,116.2327098,40.0812424,116.2335509,40.079594,116.23313035,40.0804182
309,37267,19649,116.2335509,40.079594,116.234385,40.0779591,116.23396795,40.07877655
310,19649,19648,116.234385,40.0779591,116.2344505,40.0778354,116.23441775,40.07789725
311,19648,37261,116.2344505,40.0778354,116.2352739,40.076075,116.2348622,40.0769552
312,37261,37257,116.2352739,40.076075,116.2361347,40.0744149,116.2357043,40.07524495
313,37257,37256,116.2361347,40.0744149,116.2361927,40.0742961,116.23616369999999,40.074355499999996
314,37256,26432,116.2361927,40.0742961,116.2365716,40.0735199,116.23638215,40.073908
